fit_condition,file_type,parameter_type,spine_start,shrinkage&resize_factors,double_spine_area,RM,RA,CM,error,same_strange,weight_AMPA,weight_NMDA,exp2syn_tau1,exp2syn_tau2,NMDA_tau_r_NMDA,NMDA_tau_d_NMDA,before_shrink
const_param,z_correct.swc,RA_min_error,20,"[1.1, 1.0]",False,18500.0,59.0,0.7916963831713669,0.1221404683646668,True,0.0005890331365878601,0.0002374955110848995,0.3999786018361476,2.975895973872427,14.99999999999999,25.00000000000014,after
const_param,z_correct.swc,RA=120,20,"[1.1, 1.0]",False,16429.0,120.0,0.8914957142047774,0.1710745372937731,True,0.0005347279843484453,0.0006331977050819937,0.39996447139366165,2.998332443557666,3.003081254419644,25.775992890714384,after
const_param,z_correct.swc,RA_best_fit,20,"[1.1, 1.0]",False,18500.0,59.0,0.7916963831713669,0.1221404683646668,True,0.0005890331365878601,0.0002374955110848995,0.3999786018361476,2.975895973872427,14.99999999999999,25.00000000000014,after
const_param,z_correct.swc,RA_min_error,20,"[1.0, 1.0]",False,16768.0,66.0,0.873472273894936,0.1221877468842376,True,0.0005900824040195438,0.00024954254859266327,0.39999999999999997,2.9780651757054746,14.966008697285115,25.0,after
const_param,z_correct.swc,RA=120,20,"[1.0, 1.0]",False,15238.0,120.0,0.9611748975370972,0.1582432608889368,True,0.0005624647768432102,0.00040493006637929384,0.39999999999946445,2.999999988342541,10.923312539551166,25.000011478836438,after
const_param,z_correct.swc,RA=100,20,"[1.0, 1.0]",False,15787.0,100.0,0.9277496097213078,0.1388901072679557,True,0.0005695260829754416,0.000379650833709297,0.39999999999999997,2.999999999999999,9.907482544163964,25.000000000000384,after
const_param,z_correct.swc,RA_best_fit,20,"[1.0, 1.0]",False,16768.0,66.0,0.873472273894936,0.1221877468842376,True,0.0005900824040195438,0.00024954254859266327,0.39999999999999997,2.9780651757054746,14.966008697285115,25.0,after
const_param,z_correct.swc,RA=200,20,"[1.0, 1.0]",False,13223.0,200.0,1.1076444898033946,0.2518025866489356,True,0.0005227045547701346,0.0007630679214192704,0.3999437504544073,2.977144802664987,4.360687740600751,25.004860776815335,after
const_param,z_correct.swc,RA=150,20,"[1.0, 1.0]",False,14450.0,150.0,1.013590525167494,0.1922730571754791,True,0.0005478633349506807,0.000526322318809849,0.3999996513449752,2.9998240892353123,7.829098074556901,25.000207239941822,after
const_param,z_correct.swc,RA=300,20,"[1.0, 1.0]",False,11053.0,300.0,1.3251047759585892,0.3642051749523635,True,0.0005487504636495593,0.0007839740742320615,0.39855278502887365,2.960782398181274,6.642811934671677,25.000000000000004,after
const_param,z_correct.swc,RA=70,20,"[1.0, 1.0]",False,16650.0,70.0,0.8796626479681854,0.122839507149863,True,0.0005859933817959861,0.0002567117919942995,0.39999999999999963,2.9998319183812048,14.957552678530423,25.0,after
