,2017_07_06_C_3-40,2017_07_06_C_3-41,2017_05_08_A_4-50,2017_07_06_C_4-30,2017_04_03_B0,2017_05_08_A_5-40,2017_05_08_A_5-41,2017_02_20_B0,2017_02_20_B1,2016_08_30_A0,2016_05_12_A0,2016_05_12_A1,2016_04_16_A0,2016_04_16_A1,2017_03_04_A_6-70,2017_03_04_A_6-71
sec_name,dend[67],dend[131],dend[47],dend[32],apic[9],apic[16],apic[18],dend[65],dend[40],dend[4],apic[61],apic[1],dend[42],dend[30],dend[2],dend[51]
ASC_sec_seg,"['dend[77]', 0.482]","['dend[13]', 0.617]","['dend[47]', 0.165]","['dend[36]', 1.0]","['apic[25]', 0.297]","['apic[53]', 0.711]","['apic[52]', 0.655]","['dend[5]', 1.0]","['dend[24]', 0.157]","['dend[79]', 0.59]","['apic[39]', 0.206]","['apic[84]', 0.967]","['dend[37]', 0.207]","['dend[48]', 0.111]","['dend[83]', 0.053]","['dend[35]', 0.169]"
sec_num,75,90,47,46,9,16,18,65,40,4,61,1,42,30,2,51
old_seg_num,0.4,0.5,0.2,0.875,0.333333333333333,0.8,0.75,0.5,0.1,0.5,0.2,0.4,0.35,0.166666666666667,0.02,0.2
place_name,"['dend[75]', 0.4]","['dend[90]', 0.5]","['dend[47]', 0.2]","['dend[46]', 0.875]","['apic[9]', 0.33333333333]","['apic[53]', 0.8]","['apic[18]', 0.75]","['dend[65]', 0.5]","['dend[40]', 0.1]","['dend[4]', 0.5]","['apic[61]', 0.2]","['apic[1]', 0.5]","['dend[42]', 0.35]","['dend[37]', 0.166666666667]","['dend[2]', 0.01]","['apic[28]', 0.2]"
syn_name,C112,C69,91,C301,70,42,68,120,191,2,120,202,C8,C6/7,C192,C180/190
dist_from_soma,91.51,235.28,82.94,73.71,138.641205811602,76.788,74.126,78.45,88.869,68.59,60.3,64.748,114.7555,308.942,50.77,32.31
seg_from_XYZ,0.482,0.617,0.165,1,0.297,0.711,0.655,1,0.157,0.59,0.206,0.967,0.207,0.111,0.053,0.169
dist_from_soma_from_XYZ,105.068550505261,241.391505708285,104.687459276633,155.048553155896,147.722326153727,55.2074368116769,60.485767611959,72.4172043940286,114.592484293992,69.604597024427,99.9929799402335,92.6493590719569,204.163632154149,229.650560527974,98.3280105735763,88.3487434455103
dist_from_soma_from_XYZ_measure,102.55,245.46,83.95,97.4289,137.63,78.796,75.137,127.095,89.878,78.69,61.305,135.748,120.868,308.942,44.765,29.316
lambda,0.79467008275118,0.677895227540725,0.394003908840333,0.355949593689805,0.649980583315799,0.595008356342135,0.550337243226847,0.637464498093985,0.696627335048579,0.769763511474575,0.90598995838963,0.858569521925478,0.22665715256652,0.400855769106599,0.709382272956381,0.617259934738164
seg_num,0.405,0.315,0.147,0.725,0.333333333333333,0.697,0.637,0.384,0.139,0.487,0.194,0.417,0.079,0.1,0.204,0.072
F_factor,1.496,1.496,1.58,1.4958,1.46,1.553,1.553,1.538,1.538,1.499,1.512,1.512,1.24,1.24,1.5,1.5
,Dend[75],Dend[90],,Dend[46],,,apic[15],,,,,,,,,
,,,,don’t found the rigth syn,,,,don’t found the rigth syn,,,,don’t found the rigth syn,,,,
,,,,,,,,,,,,,,,,
,,,,,,,15,,,,,,,,,
,,,,,,,0.9,,,,,,,,,
,,,,,,,"['apic[15]', 0.9]",,,,,,,,,
,,,,,,,68,,,,,,,,,
